seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	Porphyromonadaceae_unclassified	Bacteroides	Alistipes	Bacteroidetes_unclassified	Bacteroidales_unclassified	Barnesiella	Lactobacillus	Lachnospiraceae_unclassified	Clostridiales_unclassified	Turicibacter	Clostridium_XI	Allobaculum	Ruminococcaceae_unclassified	Clostridium_XlVa	Oscillibacter	Firmicutes_unclassified	Clostridia_unclassified	Flavonifractor	Ruminococcus	Clostridium_XlVb	Blautia	Enterococcus	Escherichia/Shigella	Burkholderiales_unclassified	Desulfovibrionaceae_unclassified	Alphaproteobacteria_unclassified	Parasutterella	Bifidobacterium	Enterorhabdus	Olsenella	Akkermansia	Anaeroplasma	Bacteria_unclassified	other
d19_1203_4	d19_1203_4	1203_4	19	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	43.8414411119239	0	0	0	0	3.48390636430139	0.0228602779809802	2.57863935625457	0	1.19330651060717	0	0.0228602779809802	3.6987929773226	0	0.0731528895391368	0	0	0	0	0.00457205559619605	0.0228602779809802	14.296817849305	0	0	0	0	3.87710314557425	0	0.736100950987564	23.1666057059254	2.46891002194587	0.0228602779809802	0.489209948793032
d19_1207_1	d19_1207_1	1207_1	19	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	58.7295176552042	0.328871451650127	0	0	0	1.75398107546734	0.24232633279483	2.37710593122548	0	0.605815831987076	0.980844680360028	0.686591276252019	8.10639279944611	0	0.0173090237710593	0	0.525040387722132	0	0.392337872144011	3.31756288945304	0.0057696745903531	3.19639972305562	0	0	0	2.86175859681514	0.0057696745903531	0	0	14.3780290791599	0	0.057696745903531	1.43087929840765
d19_1207_3	d19_1207_3	1207_3	19	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	65.9611266677648	0	0	0	0	5.55921594465492	0	4.98270466150552	0.00411793773678142	3.73908746499753	0	0.0741228792620656	0.00823587547356284	0	0.255312139680448	0	0	0	0	0.0123538132103443	1.07889968703673	0.0205896886839071	0	0	0	0	0.0370614396310328	0.123538132103443	0	15.3640256959315	0	2.70548509306539	0.0741228792620205
d19_1207_4	d19_1207_4	1207_4	19	1207	4	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	54.855535668627	0.0102275632830478	0	0	0	2.36256711838405	2.35745333674252	2.88417284581948	0.00511378164152391	0.0357964714906674	0	0.0409102531321913	6.80644336486832	0.00511378164152391	0.158527230887241	0	0	0	0	0	0.11761697775505	5.87573510611097	0	0	0	0	1.22730759396574	0	2.08130912810023	10.1457427767834	9.19457939145999	0.756839682945538	1.07900792636151
d19_1268_1	d19_1268_1	1268_1	19	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	61.9973468758793	17.0804914979432	1.35470125554409	2.19351726540621	0.39528869474333	0.040198850312881	4.60276836082488	3.39680285143845	1.27430355491833	1.283683286658	0.00535984670838414	2.11847941148883	0.829436278122446	0.0710179688860899	0.364469576170122	0.340350265982393	0.0442187353441692	0.00133996167709604	0.0696780072089938	0.0468986586983612	0.0736978922402819	0	0.0924573557196264	0	0	0	0	0.117916627584451	0.399308579774618	0.0495785820525533	0.39528869474333	0	0.440847391764596	0.920553672164985
d19_1268_2	d19_1268_2	1268_2	19	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	39.2029527191179	18.125116800598	0.684451504391703	2.68641375443842	0.186880956830499	0.0163520837226687	7.45187815361615	7.83732012707905	1.22407026723977	0.168192861147449	0	14.0184077742478	1.03485329844889	0.20790506447393	0.163520837226687	0.198561016632405	0.0630723229302934	0	0.0163520837226687	0.0957764903756307	0.0957764903756307	0	0.0560642870491497	0.00233601196038124	0	0	0.00467202392076247	0.904036628667539	0.88768454494487	0.240609231919267	2.56260512053822	0	0.348065782096804	1.51607176228745
d19_1268_3	d19_1268_3	1268_3	19	1268	3	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	49.009682214455	16.1423807802017	2.6475432887389	2.73191113253787	0.208910851311719	0.0200875818568961	3.93716604395163	10.2245791651601	1.49049857378169	0.875818568960669	0	2.8403840745651	1.34586798441204	0.433891768108955	0.771363143304809	0.233015949539994	0.172753203969306	0	0.86778353621791	0.140613072998272	0.0522277128279298	0	0.0200875818568961	0	0	0	0	0.490136997308264	0.582539873849986	0.0964203929131011	2.69575348519545	0	0.626732553935157	1.34185046804066
d19_1269_1	d19_1269_1	1269_1	19	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	37.093043942359	0.0177904287493329	0.0978473581213307	5.59508984166518	7.27628535847714	2.58257724011149	2.71007531281504	19.5872620530155	2.81088774239459	1.28387594141019	0	1.69602087410307	2.19415287908439	0.987368795587974	0.711617149973314	0.189764573326217	0.646385577892427	1.35800272786574	0	0.020755500207555	0	0	0	1.17416829745597	0.791674079345312	0.00593014291644429	0	0	0.183834430409773	0.0948822866631086	7.64988436221313	0.49813200498132	0.266856431239993	2.47583466761546
d19_1269_2	d19_1269_2	1269_2	19	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	35.4690302289918	0.0259922543082162	2.53424479505107	5.63771995945208	6.43568216671432	2.12356717698126	4.09378005354404	13.4821823096717	1.61411899254022	1.40878018350532	0.00519845086164323	3.15805889844826	1.08907545551426	0.706989317183479	0.540638889610896	0.556234242195826	0.356093884022561	1.17225066930055	0	0	0.0233930288773945	0	0.0129961271541081	2.25352844852234	0.421074519793102	0.00259922543082162	0	0.00259922543082162	0.16115197671094	0.150755074987654	13.593949003197	0.439269097808853	0.535440438749253	1.99360590544022
d19_1269_3	d19_1269_3	1269_3	19	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	28.3017183664361	0.0490961838875251	8.07855389422004	5.2131220709663	3.54831510823477	0.928364204418657	1.68712340995314	17.576433831734	11.0198616380272	0.0178531577772819	0	0.254407498326266	2.36108011604553	1.16045525552332	0.406159339433162	0.468645391653649	0.19192144610578	3.72238339656327	0	0.263334077214907	0.00892657888864093	0	0.00446328944432046	5.13724615041285	1.42825262218255	0.0357063155545637	0.00446328944432046	0	0.138361972773934	0.00892657888864093	5.6058915420665	0.165141709439857	0.656103548315108	1.55768801606781
