seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	Bacteroidetes	Firmicutes	Proteobacteria	Actinobacteria	Verrucomicrobia	Tenericutes	Bacteria_unclassified
d4_1269_2	d4_1269_2	1269_2	4	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	70.4533745492014	19.8042246264812	0.144255538382277	2.53992787223081	6.78516228748068	0.118495620814013	0.154559505409583
d4_1270_1	d4_1270_1	1270_1	4	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.138034163455455	46.1609248288951	0.0345085408638638	0	53.6147696554897	0	0
d4_1270_2	d4_1270_2	1270_2	4	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.297704792086815	39.998079323922	0	0	59.6081820800922	0	0.0672236627292807
d4_1271_1	d4_1271_1	1271_1	4	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.170156449402089	99.7873044382474	0.0141797041168408	0	0	0	0.00472656803894692
d4_1271_3	d4_1271_3	1271_3	4	1271	3	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.056090969353934	99.8011320177451	0.0254958951608791	0	0	0	0
dn7_1203_1	dn7_1203_1	1203_1	-7	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	46.4595744680851	51.4808510638298	0.459574468085106	0.442553191489362	0.00851063829787234	0.025531914893617	1.12340425531915
dn7_1207_1	dn7_1207_1	1207_1	-7	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	56.7270795206329	36.9679437983352	0.0177106086545841	0.295176810909735	0.0413247535273629	0	5.95076450794026
dn7_1268_1	dn7_1268_1	1268_1	-7	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	52.8710295233621	42.3372962815741	0.0144545224587143	1.24670256206411	0.0361363061467857	1.20695262530264	2.28742817909153
dn7_1269_1	dn7_1269_1	1269_1	-7	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	63.8143146153426	32.8448794357264	0.0164033025315764	1.93558969872601	0.0765487451473563	0	1.29039313248401
dn7_1269_2	dn7_1269_2	1269_2	-7	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	57.4050694377003	38.8948237350685	0.0145673497135088	0.898319898999709	0.145673497135088	0.0291346994270176	2.60755559871807
dn7_1270_1	dn7_1270_1	1270_1	-7	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	62.3307447232178	34.1397849462366	0.0149342891278375	0.44305057745918	0.0647152528872959	0.507765830346475	2.49900438072481
dn7_1270_2	dn7_1270_2	1270_2	-7	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	64.4671129529274	32.0422909361386	0.00531293167569865	0.573796620975454	0.270959515460631	0.132823291892466	2.50770375092976
dn7_1271_1	dn7_1271_1	1271_1	-7	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	70.8704471293765	25.438751212629	0.022047799629597	1.13325690096128	0.449775112443778	0.022047799629597	2.05044536555252
dn7_1271_2	dn7_1271_2	1271_2	-7	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	67.3249820187006	27.0198993047231	0.0119875329657157	2.11879645169024	1.02193718532726	0.27571325821146	2.22668424838168
dn7_1271_3	dn7_1271_3	1271_3	-7	1271	3	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	57.7488450230995	35.6730365392692	0.00524989500209996	1.79546409071819	2.95044099118018	0.152246955060899	1.67471650566989
