label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1269_2	d11_1271_2	16	0.308634	0.955625	0.271814	0.262928	0.280699	0.130173	63078
0.03	d11_1270_1	d11_1271_2	12	0.338076	0.967489	0.233486	0.223613	0.24336	0.049474	80692
0.03	d11_1270_2	d11_1271_2	8	0.298801	0.960583	0.24232	0.23015	0.25449	0.042721	47048
0.03	d11_1271_1	d11_1271_2	18	0.099295	0.973288	0.040675	0.034368	0.046982	0.005844	57344
0.03	d11_1203_1	d19_1203_1	6	0.790946	0.965102	0.899839	0.895352	0.904326	0.40656	36823
0.03	d11_1203_2	d19_1203_1	7	0.760963	0.961752	0.892028	0.88729	0.896766	0.394414	32221
0.03	d11_1203_3	d19_1203_1	6	0.730471	0.961628	0.898895	0.894405	0.903385	0.404781	28509
0.03	d11_1203_4	d19_1203_1	8	0.774658	0.967398	0.900138	0.895686	0.904591	0.407367	34117
0.03	d11_1207_1	d19_1203_1	7	0.762861	0.959369	0.906947	0.90268	0.911214	0.421093	32209
0.03	d11_1207_2	d19_1203_1	8	0.768554	0.962997	0.905559	0.901378	0.90974	0.409677	33416
0.03	d11_1207_3	d19_1203_1	9	0.808579	0.964175	0.893604	0.888866	0.898342	0.402843	40424
0.03	d11_1207_4	d19_1203_1	7	0.778857	0.952733	0.897933	0.893283	0.902582	0.405332	34810
0.03	d11_1268_1	d19_1203_1	7	0.931416	0.962705	0.933334	0.929396	0.937273	0.535895	36860
0.03	d11_1268_2	d19_1203_1	5	0.9461	0.947789	0.933299	0.929358	0.93724	0.536151	47013
0.03	d11_1269_1	d19_1203_1	6	0.863875	0.950297	0.895023	0.89025	0.899795	0.399539	56448
0.03	d11_1269_2	d19_1203_1	6	0.834585	0.950248	0.88755	0.882612	0.892488	0.383647	46453
0.03	d11_1270_1	d19_1203_1	4	0.92795	0.966141	0.923904	0.919879	0.927928	0.472179	64067
0.03	d11_1270_2	d19_1203_1	6	0.847287	0.973207	0.924228	0.920191	0.928266	0.46683	30423
0.03	d11_1271_1	d19_1203_1	4	0.887031	0.958015	0.910208	0.905825	0.914591	0.457842	40719
0.03	d11_1271_2	d19_1203_1	4	0.896264	0.954631	0.906208	0.901676	0.910739	0.454824	44401
